id,title,group,Afiliación,General,Particular
83,Yanet Villasana,EXTERNO,U. Reg Amazónica,,
84,Fernando Bimbela,EXTERNO,U.P. Navarra,,
85,Giulio Fanti,EXTERNO,U. Padua,,
86,Osvaldo Vigueras,EXTERNO,UV,,
87,David Ley Dominguez,Estado Sólido,,,
88,Oleg Kolokoltsev, UNAM, ICAT, dinámica de magnetización, ondas de spin
89,Pablo Borys, UNAM, ICAT, dinámica de magnetización, ondas de spin
90,Naser Qureshi, UNAM, ICAT, dinámica de magnetización, ondas de spin
91,Boris Kalinikos, EXTERNO, ETU-SP, dinámica de magnetización,dm lineal y no lineal
92,Kristen Buchanan, EXTERNO, CSU, dinámica de magnetización,dm lineal y no lineal
93,Grant Riley, EXTERNO, NIST, dinámica de magnetización,dm lineal y no lineal
94,Michael Urbanek, EXTERNO, CEITEC, dinámica de magnetización, cristales magnónicos
95,Jason Liu, EXTERNO, GSU, dinámica de magnetización,dm lineal y no lineal
97,Albert Fert, EXTERNO, Thales Group, dinámica de magnetización, cristales magnónicos

